%time bm_in carrier bask_out rec_wv lps_wv bm_out
6.79e-06 1 -6.96159167639e-14 -6.96159167639e-14 6.96159167639e-14 0.623141086041 0
6.7905e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.595282665896 0
6.791e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.576747482697 0
6.7915e-06 1 -0.453990499739 -0.453990499739 0.453990499739 0.5667659376 0
6.792e-06 1 -0.587785252293 -0.587785252293 0.587785252293 0.564420490054 0
6.7925e-06 1 -0.707106781187 -0.707106781187 0.707106781187 0.568665046409 0
6.793e-06 1 -0.809016994375 -0.809016994375 0.809016994375 0.578347677747 0
6.7935e-06 1 -0.891006524188 -0.891006524188 0.891006524188 0.592236099171 0
6.794e-06 1 -0.951056516295 -0.951056516295 0.951056516295 0.60904527521 0
6.7945e-06 1 -0.987688340595 -0.987688340595 0.987688340595 0.627466464078 0
6.795e-06 1 -1 -1 1 0.646196978453 0
6.7955e-06 1 -0.987688340595 -0.987688340595 0.987688340595 0.663969923187 0
6.796e-06 1 -0.951056516295 -0.951056516295 0.951056516295 0.679583171258 0
6.7965e-06 1 -0.891006524188 -0.891006524188 0.891006524188 0.691926858373 0
6.797e-06 1 -0.809016994375 -0.809016994375 0.809016994375 0.700008713405 0
6.7975e-06 1 -0.707106781187 -0.707106781187 0.707106781187 0.702976595454 0
6.798e-06 1 -0.587785252292 -0.587785252292 0.587785252292 0.70013767735 0
6.7985e-06 1 -0.453990499739 -0.453990499739 0.453990499739 0.690973798316 0
6.799e-06 1 -0.309016994375 -0.309016994375 0.309016994375 0.675152603016 0
6.7995e-06 1 -0.15643446504 -0.15643446504 0.15643446504 0.652534188277 0
6.8e-06 1 -5.48515226295e-14 -5.48515226295e-14 5.48515226295e-14 0.623173089572 1
6.8005e-06 1 0.15643446504 0.15643446504 0.15643446504 0.595313033295 1
6.801e-06 1 0.309016994375 0.309016994375 0.309016994375 0.576776297607 1
6.8015e-06 1 0.45399049974 0.45399049974 0.45399049974 0.566793279391 1
6.802e-06 1 0.587785252292 0.587785252292 0.587785252292 0.564446434037 1
6.8025e-06 1 0.707106781187 0.707106781187 0.707106781187 0.568689664044 1
6.803e-06 1 0.809016994375 0.809016994375 0.809016994375 0.578371036842 1
6.8035e-06 1 0.891006524188 0.891006524188 0.891006524188 0.592258264067 1
6.804e-06 1 0.951056516295 0.951056516295 0.951056516295 0.609066306959 1
